password_id,family,condition,length_tier,password,chunks,known_prefix,target_remainder,full_password_from_chunks,zxcvbn_score,zxcvbn_guesses_log10,zxcvbn_feedback_warning,qwen25_1p5b_llm_remainder_log10,qwen25_1p5b_dp_status,qwen25_1p5b_states_expanded,qwen25_1p5b_finished_paths,qwen25_1p5b_pruned_paths,qwen25_1p5b_truncated,mistral7b_v03_llm_remainder_log10,mistral7b_v03_dp_status,mistral7b_v03_states_expanded,mistral7b_v03_finished_paths,mistral7b_v03_pruned_paths,mistral7b_v03_truncated,best_llm_remainder_log10,best_model_alias,uniform_mixture_llm_remainder_log10,best_plus_log10M_llm_remainder_log10,model_log10_gap_abs,model_log10_gap_signed
brainrot_01,brainrot,linked,short,ohiorizz,ohio|rizz,ohio,rizz,ohiorizz,2,7.255513712819532,,7.641001012852641,ok,8,7,0,False,7.652755030204408,ok,47,32,86,True,7.641001012852641,qwen25_1p5b,7.646838257982924,7.942031008516622,0.011754017351766954,-0.011754017351766954
brainrot_01c,brainrot,control,short,ohiolamp,ohio|lamp,ohio,lamp,ohiolamp,2,6.645952531517817,,6.11329780363357,ok,8,8,0,False,6.679024447043762,ok,47,32,98,True,6.11329780363357,qwen25_1p5b,6.309903869906174,6.414327799297551,0.5657266434101924,-0.5657266434101924
brainrot_02,brainrot,linked,short,skibidiohio,skibidi|ohio,skibidi,ohio,skibidiohio,4,10.255272746377951,,6.689152828107208,ok,7,5,0,False,6.382952481736302,ok,47,32,93,True,6.382952481736302,mistral7b_v03,6.5096078383300044,6.683982477400283,0.30620034637090576,0.30620034637090576
brainrot_02c,brainrot,control,short,skibidilamp,skibidi|lamp,skibidi,lamp,skibidilamp,4,10.690727632393488,,7.911316748664066,ok,8,8,0,False,5.3018861085707805,ok,47,32,98,True,5.3018861085707805,mistral7b_v03,5.601849948899665,5.602916104234762,2.6094306400932856,2.6094306400932856
brainrot_03,brainrot,linked,short,fanumtax,fanum|tax,fanum,tax,fanumtax,2,8.000000004342944,,4.874192011465478,ok,4,4,0,False,4.724019192561676,ok,15,32,9,True,4.724019192561676,mistral7b_v03,4.792646732857358,5.025049188225657,0.15017281890380207,0.15017281890380207
brainrot_03c,brainrot,control,short,fanumriver,fanum|river,fanum,river,fanumriver,2,7.477265995424852,,4.8696358802968716,ok,16,16,0,False,4.950186934116506,ok,79,32,254,True,4.8696358802968716,qwen25_1p5b,4.908046545533726,5.170665875960853,0.08055105381963479,-0.08055105381963479
brainrot_04,brainrot,linked,short,sigmamewing,sigma|mewing,sigma,mewing,sigmamewing,3,8.485592879000539,,11.190180775971193,ok,22,21,0,False,8.355114315820103,ok,111,32,443,True,8.355114315820103,mistral7b_v03,8.655509856833392,8.656144311484084,2.83506646015109,2.83506646015109
brainrot_04c,brainrot,control,short,sigmapaper,sigma|paper,sigma,paper,sigmapaper,2,6.717751696832335,This is similar to a commonly used password.,6.6296771334417475,ok,13,13,0,False,6.322680428339089,ok,79,32,252,True,6.322680428339089,mistral7b_v03,6.449598973627402,6.62371042400307,0.30699670510265875,0.30699670510265875
brainrot_05,brainrot,linked,short,rizzohio2026,rizz|ohio|2026,rizz,ohio2026,rizzohio2026,4,10.673205373946795,,10.798833467504027,ok,27,5,0,False,12.178169411204774,ok,175,32,221,True,10.798833467504027,qwen25_1p5b,11.082099650395138,11.099863463168008,1.379335943700747,-1.379335943700747
brainrot_05c,brainrot,control,short,rizzlamp2026,rizz|lamp|2026,rizz,lamp2026,rizzlamp2026,4,12.000000000000433,,10.353595677780438,ok,40,8,0,False,10.991829415876472,ok,175,32,226,True,10.353595677780438,qwen25_1p5b,10.564713376418236,10.65462567344442,0.6382337380960337,-0.6382337380960337
