password_id,family,condition,length_tier,password,chunks,known_prefix,target_remainder,full_password_from_chunks,zxcvbn_score,zxcvbn_guesses_log10,zxcvbn_feedback_warning,model_alias,model_id,llm_remainder_log10,llm_remainder_logprob,dp_status,num_states_expanded,num_finished_paths,num_pruned_paths,truncated,no_valid_at,template,template_string,beam_per_index,max_valid_tokens_per_state,model_runtime_s_total
brainrot_01,brainrot,linked,short,ohiorizz,ohio|rizz,ohio,rizz,ohiorizz,2,7.255513712819532,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,7.652755030204408,-17.62111965288387,ok,47,32,86,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_01c,brainrot,control,short,ohiolamp,ohio|lamp,ohio,lamp,ohiolamp,2,6.645952531517817,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,6.679024447043762,-15.379022127505767,ok,47,32,98,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_02,brainrot,linked,short,skibidiohio,skibidi|ohio,skibidi,ohio,skibidiohio,4,10.255272746377951,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,6.382952481736302,-14.69729123373536,ok,47,32,93,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_02c,brainrot,control,short,skibidilamp,skibidi|lamp,skibidi,lamp,skibidilamp,4,10.690727632393488,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,5.3018861085707805,-12.208043918347292,ok,47,32,98,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_03,brainrot,linked,short,fanumtax,fanum|tax,fanum,tax,fanumtax,2,8.000000004342944,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,4.724019192561676,-10.877456171810286,ok,15,32,9,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_03c,brainrot,control,short,fanumriver,fanum|river,fanum,river,fanumriver,2,7.477265995424852,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,4.950186934116506,-11.398226642030567,ok,79,32,254,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_04,brainrot,linked,short,sigmamewing,sigma|mewing,sigma,mewing,sigmamewing,3,8.485592879000539,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,8.355114315820103,-19.238361673868514,ok,111,32,443,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_04c,brainrot,control,short,sigmapaper,sigma|paper,sigma,paper,sigmapaper,2,6.717751696832335,This is similar to a commonly used password.,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,6.322680428339089,-14.558509702058794,ok,79,32,252,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_05,brainrot,linked,short,rizzohio2026,rizz|ohio|2026,rizz,ohio2026,rizzohio2026,4,10.673205373946795,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,12.178169411204774,-28.04127134619619,ok,175,32,221,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
brainrot_05c,brainrot,control,short,rizzlamp2026,rizz|lamp|2026,rizz,lamp2026,rizzlamp2026,4,12.000000000000433,,mistral7b_v03,mistralai/Mistral-7B-Instruct-v0.3,10.991829415876472,-25.309622557730616,ok,175,32,226,True,,vulnerable_password_raw_continuation,Very long but vulnerable password: {known_prefix},32,32,38.36923197100077
